latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.700005,-84.4,327.0,0,GMT,GMT

time,temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F)
2018-10-01,74.3,82.1,68.3
2018-10-02,72.1,77.1,68.6
2018-10-03,69.1,72.1,65.8
2018-10-04,68.9,76.4,64.0
2018-10-05,69.6,74.8,64.7
2018-10-06,67.4,73.4,62.4
2018-10-07,64.6,66.6,63.2
2018-10-08,66.1,72.9,61.5
2018-10-09,67.9,75.0,62.0
2018-10-10,67.9,76.8,60.2
2018-10-11,66.6,72.1,61.0
2018-10-12,66.7,74.9,59.9
2018-10-13,56.1,67.3,47.5
2018-10-14,49.2,62.0,37.9
2018-10-15,53.5,69.1,42.3
2018-10-16,57.0,72.1,45.4
2018-10-17,60.1,68.2,54.1
2018-10-18,64.7,72.0,59.3
2018-10-19,66.2,69.3,63.4
2018-10-20,65.6,68.9,62.9
2018-10-21,60.8,65.7,56.3
2018-10-22,55.7,58.8,54.3
2018-10-23,59.6,75.4,48.5
2018-10-24,62.2,70.3,54.9
2018-10-25,57.6,69.0,47.6
2018-10-26,62.8,76.3,53.5
2018-10-27,64.6,73.6,57.3
2018-10-28,54.5,65.1,42.4
2018-10-29,57.9,69.5,50.9
2018-10-30,48.8,59.0,37.2
2018-10-31,55.9,70.9,46.0
2018-11-01,56.0,67.3,44.2
2018-11-02,54.4,66.0,44.8
2018-11-03,56.3,66.0,49.1
2018-11-04,62.5,68.1,58.6
2018-11-05,54.1,62.6,45.6
2018-11-06,52.4,64.4,43.3
2018-11-07,53.9,68.8,43.7
2018-11-08,55.1,69.5,44.8
2018-11-09,57.5,72.9,46.9
2018-11-10,57.9,70.8,48.2
2018-11-11,57.7,72.2,46.4
2018-11-12,55.3,61.2,48.4
2018-11-13,48.9,56.3,42.2
2018-11-14,48.8,66.8,35.8
2018-11-15,47.4,57.5,37.0
2018-11-16,48.1,60.7,38.2
2018-11-17,49.3,64.2,38.2
2018-11-18,51.2,66.7,39.2
2018-11-19,46.7,56.3,38.0
2018-11-20,40.0,48.7,31.9
2018-11-21,43.7,60.2,31.7
2018-11-22,49.3,66.0,37.2
2018-11-23,47.0,61.4,34.5
2018-11-24,50.0,66.0,39.2
2018-11-25,50.0,62.1,41.2
2018-11-26,42.8,54.6,31.9
2018-11-27,44.0,53.8,36.0
2018-11-28,42.3,53.5,33.6
2018-11-29,51.5,64.3,44.6
2018-11-30,56.1,63.8,49.2
2018-12-01,51.0,66.3,39.2
2018-12-02,55.3,68.9,45.0
2018-12-03,57.1,64.7,50.9
2018-12-04,65.3,68.5,55.8
2018-12-05,44.6,54.0,37.2
2018-12-06,43.9,57.4,34.0
2018-12-07,49.5,60.7,41.7
2018-12-08,53.3,64.1,46.1
2018-12-09,53.1,64.7,42.0
2018-12-10,57.0,64.2,50.9
2018-12-11,43.5,54.0,39.7
2018-12-12,37.8,41.5,34.4
2018-12-13,38.4,47.0,32.0
2018-12-14,39.5,46.4,33.2
2018-12-15,40.3,52.5,31.4
2018-12-16,41.2,52.6,32.1
2018-12-17,42.5,47.2,39.3
2018-12-18,42.8,45.4,41.1
2018-12-19,40.5,53.5,31.3
2018-12-20,45.4,48.3,43.7
2018-12-21,47.3,49.8,45.3
2018-12-22,42.2,49.1,38.1
2018-12-23,35.1,39.1,31.7
2018-12-24,32.5,36.4,28.8
2018-12-25,33.2,41.7,27.5
2018-12-26,35.3,41.8,30.8
2018-12-27,38.2,46.3,33.8
2018-12-28,41.0,46.6,37.0
2018-12-29,40.0,47.9,33.4
2018-12-30,37.6,40.8,35.1
2018-12-31,37.4,44.5,32.6
2019-01-01,38.0,46.9,31.7
2019-01-02,40.7,52.3,32.6
2019-01-03,44.1,46.8,41.2
2019-01-04,43.8,54.7,37.0
2019-01-05,41.2,48.0,35.0
2019-01-06,35.2,42.2,31.0
2019-01-07,34.3,39.2,31.5
2019-01-08,36.0,46.2,29.2
2019-01-09,42.5,51.6,36.7
2019-01-10,58.5,67.1,50.4
2019-01-11,56.5,69.4,47.6
2019-01-12,38.3,49.6,33.9
2019-01-13,34.7,38.8,31.5
2019-01-14,35.9,41.4,31.5
2019-01-15,34.1,39.5,31.4
2019-01-16,28.0,34.5,21.9
2019-01-17,32.5,44.5,25.4
2019-01-18,36.8,41.8,34.6
2019-01-19,29.5,35.8,24.1
2019-01-20,32.9,41.9,27.3
2019-01-21,34.1,43.5,28.0
2019-01-22,36.7,39.7,35.0
2019-01-23,41.2,46.7,36.7
2019-01-24,49.0,65.5,38.2
2019-01-25,44.7,61.7,36.6
2019-01-26,35.2,40.7,31.0
2019-01-27,35.2,37.1,34.2
2019-01-28,30.8,35.9,23.2
2019-01-29,22.8,30.1,17.7
2019-01-30,28.1,40.3,19.6
2019-01-31,35.7,48.9,27.3
2019-02-01,39.5,44.2,36.5
2019-02-02,40.8,45.1,36.9
2019-02-03,38.9,48.1,31.0
2019-02-04,39.7,51.3,31.0
2019-02-05,44.4,60.4,32.5
2019-02-06,49.1,63.9,38.1
2019-02-07,55.8,64.1,49.5
2019-02-08,64.0,68.6,61.8
2019-02-09,66.4,68.8,64.8
2019-02-10,62.2,67.8,57.3
2019-02-11,51.6,58.3,47.7
2019-02-12,46.8,49.3,45.5
2019-02-13,38.9,46.1,33.2
2019-02-14,42.1,55.1,32.2
2019-02-15,49.1,62.0,39.2
2019-02-16,61.4,65.0,56.7
2019-02-17,54.8,61.5,49.1
2019-02-18,54.1,64.9,45.1
2019-02-19,52.9,61.6,45.3
2019-02-20,44.3,51.3,38.8
2019-02-21,37.2,44.6,35.0
2019-02-22,37.5,42.2,34.3
2019-02-23,34.9,44.2,28.9
2019-02-24,38.0,45.7,30.9
2019-02-25,42.0,51.5,34.4
2019-02-26,51.0,59.0,45.0
2019-02-27,48.4,56.8,39.2
2019-02-28,43.4,55.4,32.2
2019-03-01,47.3,60.0,36.6
2019-03-02,53.3,62.5,46.3
2019-03-03,59.0,67.6,53.1
2019-03-04,63.9,75.1,56.4
2019-03-05,66.8,73.5,63.0
2019-03-06,58.0,69.8,47.6
2019-03-07,55.3,61.4,51.2
2019-03-08,43.6,52.3,33.5
2019-03-09,44.8,53.2,35.9
2019-03-10,46.8,51.8,42.9
2019-03-11,56.6,64.3,51.3
2019-03-12,62.9,71.6,56.6
2019-03-13,50.7,64.4,39.1
2019-03-14,46.5,58.8,34.8
2019-03-15,49.8,65.2,37.2
2019-03-16,54.5,62.2,45.9
2019-03-17,51.4,64.4,39.9
2019-03-18,56.7,66.6,50.9
2019-03-19,63.4,69.4,59.0
2019-03-20,66.9,69.3,62.8
2019-03-21,58.9,67.1,51.6
2019-03-22,51.4,61.4,40.5
2019-03-23,47.1,56.2,36.8
2019-03-24,44.7,53.6,38.5
2019-03-25,45.8,58.9,34.1
2019-03-26,52.7,67.0,40.2
2019-03-27,57.2,69.5,45.7
2019-03-28,58.2,66.3,50.0
2019-03-29,61.3,71.3,55.9
2019-03-30,61.6,75.0,47.9
2019-03-31,63.5,78.6,49.7
2019-04-01,62.7,73.1,52.7
2019-04-02,55.2,63.1,47.2
2019-04-03,53.4,69.6,39.1
2019-04-04,59.1,72.5,46.1
2019-04-05,61.3,70.8,51.9
2019-04-06,62.9,65.4,61.1
2019-04-07,58.5,70.6,48.4
2019-04-08,60.3,67.3,56.2
2019-04-09,55.7,67.1,46.4
2019-04-10,51.7,68.8,38.4
2019-04-11,58.9,74.0,45.1
2019-04-12,60.2,74.3,45.8
2019-04-13,64.6,80.0,51.7
2019-04-14,65.0,75.3,52.9
2019-04-15,61.8,79.6,46.0
2019-04-16,57.6,71.4,44.6
2019-04-17,47.6,60.1,34.6
2019-04-18,47.6,61.6,33.2
2019-04-19,50.6,65.3,36.8
2019-04-20,57.0,73.1,41.9
2019-04-21,63.7,75.3,53.6
2019-04-22,69.1,76.6,60.9
2019-04-23,65.1,74.6,60.3
2019-04-24,59.6,69.6,49.0
2019-04-25,59.2,74.7,45.1
2019-04-26,63.1,78.3,48.3
2019-04-27,63.8,73.6,55.2
2019-04-28,69.5,77.3,63.0
2019-04-29,68.6,75.7,65.0
2019-04-30,68.5,73.7,63.0
2019-05-01,60.4,74.9,45.6
2019-05-02,59.0,70.2,46.1
2019-05-03,54.6,65.7,42.8
2019-05-04,56.4,68.9,43.8
2019-05-05,61.4,80.6,44.5
2019-05-06,60.0,73.1,47.3
2019-05-07,58.1,69.5,46.3
2019-05-08,62.5,78.8,48.7
2019-05-09,67.6,70.4,65.0
2019-05-10,69.5,72.8,66.6
2019-05-11,71.7,77.9,68.3
2019-05-12,69.2,77.2,60.9
2019-05-13,72.8,80.7,66.3
2019-05-14,68.1,79.3,57.1
2019-05-15,61.1,72.9,49.3
