latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.40001,-71.1,19.0,0,GMT,GMT

time,temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F)
2018-10-01,59.1,74.0,48.2
2018-10-02,55.1,66.6,44.7
2018-10-03,52.1,61.1,46.2
2018-10-04,54.1,65.9,46.5
2018-10-05,56.4,68.2,47.5
2018-10-06,61.0,74.8,50.5
2018-10-07,64.2,76.9,52.9
2018-10-08,65.5,78.7,55.0
2018-10-09,56.9,69.6,53.2
2018-10-10,51.4,58.9,45.8
2018-10-11,47.8,65.9,35.2
2018-10-12,58.6,63.8,55.0
2018-10-13,51.3,56.1,47.4
2018-10-14,44.0,48.9,38.1
2018-10-15,39.0,47.8,31.9
2018-10-16,45.3,62.0,35.5
2018-10-17,54.2,69.1,43.1
2018-10-18,63.4,72.4,57.9
2018-10-19,62.4,70.1,56.5
2018-10-20,46.9,55.7,37.3
2018-10-21,44.5,61.4,32.0
2018-10-22,49.2,63.8,38.2
2018-10-23,50.4,61.0,41.5
2018-10-24,52.6,61.8,46.9
2018-10-25,48.6,56.4,41.7
2018-10-26,57.2,69.7,48.1
2018-10-27,57.6,64.4,52.1
2018-10-28,43.4,50.1,38.2
2018-10-29,50.3,59.1,39.8
2018-10-30,46.9,52.3,43.4
2018-10-31,42.2,53.0,33.8
2018-11-01,42.5,45.2,38.7
2018-11-02,37.0,48.5,27.4
2018-11-03,52.7,65.1,46.2
2018-11-04,58.0,59.1,55.6
2018-11-05,43.1,53.1,32.2
2018-11-06,44.8,62.1,32.9
2018-11-07,45.1,61.4,32.8
2018-11-08,48.4,64.0,37.9
2018-11-09,53.6,64.2,48.1
2018-11-10,42.4,52.7,32.9
2018-11-11,50.2,65.1,40.3
2018-11-12,47.3,53.1,42.6
2018-11-13,34.6,42.4,27.2
2018-11-14,43.3,47.8,39.9
2018-11-15,32.7,40.2,25.7
2018-11-16,35.5,51.1,25.9
2018-11-17,51.2,62.6,43.7
2018-11-18,51.0,60.1,40.1
2018-11-19,42.1,47.4,38.4
2018-11-20,34.2,39.9,29.4
2018-11-21,43.0,53.4,35.9
2018-11-22,41.6,54.4,31.6
2018-11-23,41.3,46.4,35.1
2018-11-24,45.8,57.0,33.1
2018-11-25,42.0,47.3,34.3
2018-11-26,33.9,40.1,29.8
2018-11-27,32.0,37.3,28.6
2018-11-28,33.6,44.1,26.0
2018-11-29,35.6,43.0,30.0
2018-11-30,39.6,49.2,31.7
2018-12-01,47.4,49.5,43.6
2018-12-02,42.3,45.5,40.7
2018-12-03,43.2,61.4,31.7
2018-12-04,59.8,69.1,52.1
2018-12-05,60.5,67.8,47.5
2018-12-06,39.7,45.5,35.5
2018-12-07,42.8,58.1,35.1
2018-12-08,41.7,49.9,32.2
2018-12-09,52.0,57.8,46.2
2018-12-10,43.1,52.5,38.2
2018-12-11,41.8,46.5,37.6
2018-12-12,38.4,46.6,29.7
2018-12-13,28.2,33.9,23.1
2018-12-14,28.8,38.3,22.0
2018-12-15,31.9,41.1,25.1
2018-12-16,32.5,40.8,25.9
2018-12-17,35.3,43.4,30.7
2018-12-18,37.3,45.3,33.1
2018-12-19,41.8,47.7,38.3
2018-12-20,41.9,48.0,37.1
2018-12-21,34.6,38.6,31.3
2018-12-22,40.2,44.1,35.8
2018-12-23,31.2,33.9,29.8
2018-12-24,27.5,31.5,23.9
2018-12-25,31.5,33.9,29.0
2018-12-26,25.4,30.4,20.7
2018-12-27,21.9,28.5,17.5
2018-12-28,26.2,33.4,19.6
2018-12-29,26.3,34.4,19.6
2018-12-30,29.5,38.3,22.8
2018-12-31,31.7,34.2,27.8
2019-01-01,29.5,31.3,27.6
2019-01-02,19.3,26.9,10.5
2019-01-03,27.3,40.9,17.9
2019-01-04,34.1,41.0,29.2
2019-01-05,30.9,35.7,28.6
2019-01-06,28.7,32.2,23.5
2019-01-07,24.0,29.9,18.8
2019-01-08,29.3,35.1,25.8
2019-01-09,22.9,32.9,15.7
2019-01-10,35.6,46.0,28.8
2019-01-11,49.5,55.3,43.6
2019-01-12,57.9,62.2,46.3
2019-01-13,38.8,44.5,34.9
2019-01-14,35.2,41.3,31.4
2019-01-15,33.9,37.1,31.7
2019-01-16,27.9,33.7,21.3
2019-01-17,21.6,30.8,15.5
2019-01-18,34.5,40.1,29.1
2019-01-19,31.5,33.9,27.5
2019-01-20,21.2,26.5,16.2
2019-01-21,19.6,23.7,15.9
2019-01-22,21.8,30.6,15.7
2019-01-23,38.7,49.5,26.5
2019-01-24,39.5,49.3,35.3
2019-01-25,38.6,44.2,33.5
2019-01-26,22.3,34.6,16.2
2019-01-27,14.6,21.1,8.7
2019-01-28,30.0,37.5,20.9
2019-01-29,20.9,36.9,12.2
2019-01-30,26.1,36.5,20.2
2019-01-31,21.7,30.2,16.8
2019-02-01,24.5,32.6,19.2
2019-02-02,30.8,40.4,25.3
2019-02-03,31.2,37.0,26.9
2019-02-04,18.7,29.4,12.6
2019-02-05,21.9,30.7,15.8
2019-02-06,24.2,34.0,17.2
2019-02-07,39.0,51.0,26.9
2019-02-08,39.6,45.5,35.1
2019-02-09,36.2,43.1,31.8
2019-02-10,36.9,41.5,32.9
2019-02-11,26.8,34.7,19.7
2019-02-12,19.5,26.3,12.1
2019-02-13,30.3,36.2,21.1
2019-02-14,28.3,39.4,21.4
2019-02-15,34.6,44.7,28.3
2019-02-16,44.0,49.2,38.5
2019-02-17,38.8,43.8,32.2
2019-02-18,34.5,46.4,25.9
2019-02-19,39.3,44.2,35.9
2019-02-20,22.1,36.3,14.2
2019-02-21,16.8,22.6,10.6
2019-02-22,20.0,30.8,11.6
2019-02-23,32.7,37.4,28.8
2019-02-24,18.1,28.5,5.5
2019-02-25,5.3,18.7,-4.7
2019-02-26,18.7,41.4,4.3
2019-02-27,44.8,48.6,38.2
2019-02-28,31.0,41.3,23.9
2019-03-01,25.2,36.9,15.0
2019-03-02,35.8,47.3,28.6
2019-03-03,38.8,45.3,34.0
2019-03-04,41.5,48.1,37.6
2019-03-05,40.2,49.8,34.7
2019-03-06,47.9,52.8,41.0
2019-03-07,41.8,45.1,39.3
2019-03-08,29.3,41.1,20.7
2019-03-09,20.9,31.1,13.3
2019-03-10,33.0,45.5,25.7
2019-03-11,42.4,49.3,37.7
2019-03-12,42.4,52.6,35.6
2019-03-13,38.5,46.0,31.7
2019-03-14,32.4,39.7,27.8
2019-03-15,21.2,28.7,14.1
2019-03-16,29.9,36.2,26.0
2019-03-17,26.9,35.9,18.2
2019-03-18,36.3,45.5,30.2
2019-03-19,46.1,55.3,40.8
2019-03-20,48.9,57.5,43.7
2019-03-21,49.7,58.6,43.5
