latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
32.800003,-96.799995,140.0,0,GMT,GMT

time,temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F)
2018-10-01,74.9,80.7,70.2
2018-10-02,73.3,80.2,67.9
2018-10-03,73.3,79.9,68.1
2018-10-04,74.6,82.4,67.7
2018-10-05,73.6,81.0,66.0
2018-10-06,73.3,81.8,65.0
2018-10-07,72.4,81.6,63.4
2018-10-08,72.5,81.9,63.2
2018-10-09,72.8,81.8,63.9
2018-10-10,72.6,82.8,62.8
2018-10-11,72.0,81.5,63.7
2018-10-12,66.9,74.9,60.1
2018-10-13,63.1,72.2,54.7
2018-10-14,65.0,75.1,56.7
2018-10-15,66.2,75.1,57.3
2018-10-16,67.3,75.5,59.2
2018-10-17,68.1,76.8,59.6
2018-10-18,70.5,78.8,62.3
2018-10-19,68.5,76.6,61.0
2018-10-20,69.1,78.1,60.0
2018-10-21,69.8,79.6,60.9
2018-10-22,73.8,86.0,64.1
2018-10-23,69.2,84.8,61.2
2018-10-24,62.2,71.7,52.0
2018-10-25,65.7,78.4,55.0
2018-10-26,71.2,81.8,61.9
2018-10-27,68.7,79.7,61.1
2018-10-28,67.2,81.8,54.7
2018-10-29,71.2,81.6,68.0
2018-10-30,60.8,69.7,53.6
2018-10-31,63.5,73.8,54.4
2018-11-01,64.6,73.6,55.0
2018-11-02,65.6,74.8,56.9
2018-11-03,68.9,74.5,65.2
2018-11-04,61.6,70.5,55.5
2018-11-05,57.5,68.0,47.8
2018-11-06,61.1,71.8,50.7
2018-11-07,61.3,70.3,52.8
2018-11-08,60.5,70.6,50.5
2018-11-09,65.4,76.1,56.9
2018-11-10,68.5,77.2,60.5
2018-11-11,63.1,75.6,59.2
2018-11-12,52.7,60.9,47.0
2018-11-13,50.2,58.0,43.1
2018-11-14,50.3,57.7,43.1
2018-11-15,51.3,59.0,44.2
2018-11-16,51.1,61.6,41.1
2018-11-17,53.7,65.9,43.2
2018-11-18,54.9,63.6,46.1
2018-11-19,50.8,62.2,44.1
2018-11-20,47.1,58.1,37.7
2018-11-21,51.2,63.1,40.4
2018-11-22,54.9,63.3,47.7
2018-11-23,56.6,68.4,46.4
2018-11-24,56.9,66.8,48.2
2018-11-25,55.9,64.2,48.1
2018-11-26,55.0,66.0,44.8
2018-11-27,55.9,64.3,47.5
2018-11-28,58.3,66.9,53.4
2018-11-29,59.1,67.1,53.3
2018-11-30,56.9,68.9,48.3
2018-12-01,60.7,68.5,54.0
2018-12-02,60.9,73.5,50.3
2018-12-03,67.4,70.9,66.1
2018-12-04,51.1,65.9,43.2
2018-12-05,52.5,63.6,44.2
2018-12-06,57.3,65.7,50.6
2018-12-07,64.1,71.0,58.7
2018-12-08,60.4,70.4,53.7
