latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.699997,-105.0,1609.0,0,GMT,GMT

time,temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F)
2018-10-01,56.7,77.7,41.4
2018-10-02,65.3,82.7,50.4
2018-10-03,66.6,82.6,50.6
2018-10-04,55.0,79.9,43.1
2018-10-05,57.4,77.5,41.5
2018-10-06,65.1,81.9,49.8
2018-10-07,65.7,80.4,50.9
2018-10-08,55.3,77.7,40.1
2018-10-09,60.4,75.0,49.0
2018-10-10,48.2,62.4,40.3
2018-10-11,42.6,55.4,33.0
2018-10-12,44.1,59.0,33.5
2018-10-13,51.1,63.4,40.9
2018-10-14,49.7,62.3,39.7
2018-10-15,50.8,66.7,37.3
2018-10-16,54.0,67.2,42.6
2018-10-17,52.0,65.9,40.7
2018-10-18,51.2,67.6,37.2
2018-10-19,55.2,71.6,41.2
2018-10-20,49.3,69.5,34.7
2018-10-21,51.1,73.4,35.0
2018-10-22,46.5,71.7,35.5
2018-10-23,43.1,64.3,27.9
2018-10-24,51.9,63.4,41.6
2018-10-25,48.6,66.1,34.0
2018-10-26,47.6,63.7,33.6
2018-10-27,47.9,67.2,30.9
2018-10-28,57.5,68.4,47.0
2018-10-29,49.8,70.3,30.9
2018-10-30,51.1,68.1,36.3
2018-10-31,49.9,66.0,37.0
2018-11-01,51.9,67.0,38.8
2018-11-02,55.6,71.0,43.0
2018-11-03,41.2,66.4,29.4
2018-11-04,44.9,63.2,33.5
2018-11-05,45.4,62.9,35.9
2018-11-06,29.7,46.7,23.9
2018-11-07,28.6,40.1,20.8
2018-11-08,28.9,37.5,22.9
2018-11-09,30.4,43.9,22.0
2018-11-10,38.7,52.3,30.4
2018-11-11,28.8,44.8,21.6
2018-11-12,35.4,55.3,22.1
2018-11-13,38.2,52.6,29.7
2018-11-14,36.5,55.2,22.4
2018-11-15,41.6,56.9,30.4
2018-11-16,41.9,59.1,29.6
2018-11-17,36.6,51.7,24.3
2018-11-18,36.6,49.4,25.3
2018-11-19,42.3,60.6,29.7
2018-11-20,43.7,58.2,31.9
2018-11-21,36.1,52.0,28.4
2018-11-22,39.6,58.8,27.6
2018-11-23,40.0,52.6,26.8
2018-11-24,30.2,48.7,19.7
2018-11-25,33.6,50.9,21.2
2018-11-26,35.1,48.0,24.6
2018-11-27,35.7,47.6,26.9
2018-11-28,32.4,45.2,26.4
2018-11-29,32.1,47.8,22.1
2018-11-30,31.0,45.9,19.9
2018-12-01,33.8,48.6,24.7
2018-12-02,39.5,48.4,34.0
2018-12-03,28.0,42.9,21.9
2018-12-04,26.9,43.0,17.1
2018-12-05,36.3,48.4,28.6
2018-12-06,32.4,45.7,20.7
2018-12-07,33.0,43.4,26.8
2018-12-08,26.6,39.3,19.9
2018-12-09,24.7,33.5,19.3
2018-12-10,27.3,40.6,19.4
