latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.1,-118.2,91.0,0,GMT,GMT

time,temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F)
2018-10-01,70.3,90.3,53.9
2018-10-02,75.8,89.2,63.5
2018-10-03,71.1,88.2,56.8
2018-10-04,76.4,91.0,62.8
2018-10-05,75.5,88.7,63.0
2018-10-06,74.5,90.3,60.3
2018-10-07,74.8,89.1,62.3
2018-10-08,73.1,84.7,62.1
2018-10-09,72.2,83.7,60.2
2018-10-10,67.8,80.5,55.2
2018-10-11,60.8,76.9,51.2
2018-10-12,56.5,70.6,46.4
2018-10-13,56.4,71.1,45.6
2018-10-14,56.2,67.8,45.7
2018-10-15,59.6,70.9,48.8
2018-10-16,64.1,76.3,53.0
2018-10-17,68.0,83.9,55.4
2018-10-18,70.0,83.3,58.0
2018-10-19,69.2,79.7,58.3
2018-10-20,68.6,82.3,56.5
2018-10-21,69.3,81.9,57.7
2018-10-22,71.3,84.9,58.8
2018-10-23,66.8,82.9,56.3
2018-10-24,62.2,77.6,52.4
2018-10-25,71.6,89.7,60.4
2018-10-26,77.6,96.6,64.6
2018-10-27,82.4,97.6,70.1
2018-10-28,80.9,97.5,69.7
2018-10-29,71.6,88.0,61.2
2018-10-30,66.4,79.2,56.4
2018-10-31,64.9,76.2,54.0
2018-11-01,65.2,76.5,55.1
2018-11-02,63.5,78.6,51.2
2018-11-03,67.4,78.6,58.0
2018-11-04,62.3,75.9,51.2
2018-11-05,63.6,75.3,54.1
2018-11-06,61.9,76.2,50.1
2018-11-07,62.4,77.7,51.0
2018-11-08,65.3,81.0,52.7
2018-11-09,67.1,82.1,54.0
2018-11-10,67.2,82.0,55.5
2018-11-11,67.4,83.6,55.4
2018-11-12,70.5,84.0,59.7
2018-11-13,71.3,85.4,60.9
2018-11-14,71.6,85.5,60.9
2018-11-15,71.6,85.2,61.1
2018-11-16,70.0,84.6,59.4
2018-11-17,69.7,84.4,57.8
2018-11-18,68.5,84.4,56.8
2018-11-19,67.0,81.9,55.8
2018-11-20,68.4,84.3,57.2
2018-11-21,69.8,84.5,58.4
2018-11-22,66.8,82.4,55.3
2018-11-23,65.1,76.6,55.9
2018-11-24,64.0,78.8,51.5
2018-11-25,63.0,78.3,52.8
2018-11-26,56.1,70.5,46.1
2018-11-27,54.9,66.6,49.1
2018-11-28,49.4,60.3,41.7
2018-11-29,53.4,60.7,46.3
2018-11-30,54.4,60.6,49.5
2018-12-01,50.9,60.6,42.1
2018-12-02,54.2,61.7,49.9
2018-12-03,50.9,62.8,42.3
2018-12-04,51.4,63.0,41.7
2018-12-05,50.5,62.9,41.1
2018-12-06,52.2,60.8,44.3
2018-12-07,51.1,59.6,43.7
2018-12-08,51.2,60.0,45.1
2018-12-09,49.6,62.3,40.2
2018-12-10,51.9,62.7,43.6
2018-12-11,51.3,63.0,45.0
2018-12-12,51.7,63.4,42.3
2018-12-13,51.7,62.5,45.9
2018-12-14,49.9,57.5,43.5
2018-12-15,52.0,65.8,44.1
2018-12-16,52.1,65.9,41.8
2018-12-17,52.7,60.5,47.3
2018-12-18,47.7,59.8,40.8
2018-12-19,46.0,60.0,37.7
2018-12-20,41.4,53.3,34.1
2018-12-21,41.0,53.5,33.0
2018-12-22,44.8,57.6,35.9
2018-12-23,50.0,65.1,41.6
2018-12-24,52.3,67.2,42.3
2018-12-25,52.1,67.4,41.6
2018-12-26,50.5,65.2,40.0
2018-12-27,50.1,65.1,41.5
2018-12-28,48.9,63.0,37.7
2018-12-29,49.7,64.3,38.8
2018-12-30,52.1,64.6,43.6
2018-12-31,51.0,59.1,46.3
2019-01-01,51.1,66.7,41.5
2019-01-02,52.9,67.1,43.4
2019-01-03,53.8,67.0,43.8
2019-01-04,54.9,66.8,46.7
2019-01-05,51.1,64.6,41.7
2019-01-06,49.4,59.3,44.0
2019-01-07,48.9,57.6,43.2
2019-01-08,52.7,58.5,47.9
2019-01-09,48.4,58.4,40.2
2019-01-10,45.7,58.2,36.5
2019-01-11,47.9,59.4,38.7
2019-01-12,53.0,64.0,45.5
2019-01-13,54.8,70.3,45.9
2019-01-14,57.1,70.5,46.2
2019-01-15,58.5,72.8,48.6
2019-01-16,54.0,72.7,40.9
2019-01-17,53.8,67.9,43.7
2019-01-18,52.4,65.6,43.8
2019-01-19,52.0,66.8,42.2
2019-01-20,53.5,67.6,42.6
2019-01-21,56.0,73.1,43.4
2019-01-22,61.4,78.6,48.8
2019-01-23,65.4,78.8,53.4
2019-01-24,62.9,77.7,55.5
2019-01-25,54.2,69.2,45.0
2019-01-26,48.0,62.5,40.0
2019-01-27,46.3,61.7,36.1
2019-01-28,50.5,64.6,40.7
2019-01-29,51.4,64.7,40.9
2019-01-30,52.9,65.4,43.0
2019-01-31,53.4,65.6,44.5
2019-02-01,54.7,74.0,42.0
2019-02-02,59.9,74.2,50.2
2019-02-03,59.5,72.4,49.2
2019-02-04,57.6,70.6,46.6
2019-02-05,51.5,67.0,43.8
2019-02-06,47.0,56.1,39.7
2019-02-07,48.4,56.9,42.7
2019-02-08,45.2,56.8,36.9
2019-02-09,45.3,56.0,36.0
2019-02-10,45.1,56.1,36.2
2019-02-11,44.3,58.0,34.0
2019-02-12,47.8,60.8,37.4
2019-02-13,49.2,60.7,41.2
2019-02-14,50.7,56.6,45.7
2019-02-15,47.5,59.1,39.7
2019-02-16,50.3,61.2,40.9
2019-02-17,50.0,61.2,41.9
2019-02-18,45.4,56.6,36.5
2019-02-19,45.6,56.9,36.1
2019-02-20,45.1,53.1,37.7
2019-02-21,44.7,60.5,35.3
2019-02-22,51.7,69.4,40.1
2019-02-23,51.5,69.5,41.0
2019-02-24,52.4,59.6,46.7
2019-02-25,51.7,65.6,42.5
2019-02-26,53.6,66.0,44.9
2019-02-27,51.9,61.6,45.4
2019-02-28,54.1,61.9,49.0
2019-03-01,50.3,60.6,41.3
2019-03-02,51.4,66.7,41.3
2019-03-03,56.5,69.3,46.3
2019-03-04,53.5,69.3,43.2
2019-03-05,56.8,70.2,48.9
2019-03-06,57.8,73.1,46.4
2019-03-07,61.7,79.3,49.5
2019-03-08,63.7,79.6,52.1
2019-03-09,56.9,70.5,46.4
2019-03-10,58.1,72.7,45.9
2019-03-11,60.5,74.7,50.0
2019-03-12,60.9,75.0,49.2
2019-03-13,59.2,71.4,46.9
2019-03-14,60.8,74.0,47.3
2019-03-15,60.0,72.2,47.8
2019-03-16,55.5,70.4,47.3
2019-03-17,53.1,61.0,47.5
2019-03-18,50.7,58.5,41.7
2019-03-19,51.4,66.2,41.7
2019-03-20,53.3,66.4,42.6
2019-03-21,52.8,63.8,43.9
2019-03-22,55.5,72.5,45.2
2019-03-23,59.8,72.7,48.6
2019-03-24,57.0,67.1,47.9
2019-03-25,51.1,63.2,43.9
2019-03-26,51.7,56.8,46.0
2019-03-27,53.4,67.0,42.8
2019-03-28,59.1,69.0,48.0
2019-03-29,57.1,67.1,47.5
2019-03-30,57.3,67.7,46.8
2019-03-31,60.4,73.7,50.2
2019-04-01,66.3,86.2,54.0
2019-04-02,69.3,86.3,57.0
2019-04-03,59.7,75.7,50.8
2019-04-04,55.6,69.9,44.3
2019-04-05,58.8,72.3,46.3
2019-04-06,63.1,79.5,50.6
2019-04-07,63.6,79.6,51.0
2019-04-08,63.8,78.1,52.4
2019-04-09,64.9,78.3,51.8
2019-04-10,61.7,71.5,52.1
2019-04-11,63.7,85.9,49.9
2019-04-12,73.6,92.4,59.1
2019-04-13,77.9,92.5,63.9
2019-04-14,79.0,91.5,65.8
2019-04-15,81.1,92.7,66.9
2019-04-16,82.4,99.0,69.4
2019-04-17,81.8,99.1,68.9
2019-04-18,78.8,93.2,66.1
2019-04-19,72.9,85.0,60.9
2019-04-20,64.9,80.1,53.8
2019-04-21,64.2,75.0,52.6
2019-04-22,65.7,75.1,54.8
2019-04-23,61.8,71.9,50.9
2019-04-24,60.1,72.6,48.9
2019-04-25,62.4,76.0,51.2
2019-04-26,65.0,76.6,53.1
2019-04-27,64.1,82.9,51.7
2019-04-28,71.2,89.4,58.7
2019-04-29,78.4,94.2,65.0
2019-04-30,82.4,97.9,68.5
2019-05-01,82.9,97.8,67.8
2019-05-02,78.3,90.6,65.1
2019-05-03,79.6,91.6,65.8
2019-05-04,75.0,90.4,62.7
2019-05-05,64.8,80.4,54.4
2019-05-06,54.0,68.4,45.8
2019-05-07,56.0,64.9,48.6
2019-05-08,58.8,68.5,48.1
2019-05-09,61.0,70.3,50.2
2019-05-10,62.6,73.5,51.6
2019-05-11,67.4,80.1,54.9
2019-05-12,72.3,91.2,59.7
2019-05-13,74.6,91.6,64.6
2019-05-14,62.4,75.5,52.2
2019-05-15,60.3,72.9,52.4
2019-05-16,56.5,68.0,48.5
2019-05-17,56.8,68.3,47.5
2019-05-18,67.1,83.2,54.3
2019-05-19,71.2,82.1,58.7
2019-05-20,65.7,81.6,53.9
2019-05-21,61.8,75.3,52.1
2019-05-22,65.8,78.8,54.6
2019-05-23,65.5,79.1,55.7
2019-05-24,61.2,74.4,51.6
2019-05-25,63.9,79.2,52.1
2019-05-26,65.3,79.6,53.4
2019-05-27,59.7,70.9,52.0
2019-05-28,57.9,68.1,50.5
2019-05-29,57.6,68.7,50.3
2019-05-30,56.8,67.9,48.4
2019-05-31,57.5,66.5,51.8
2019-06-01,61.9,74.0,49.6
2019-06-02,64.2,76.0,52.5
2019-06-03,66.2,78.0,52.8
2019-06-04,73.5,88.6,61.5
2019-06-05,79.1,89.2,66.5
2019-06-06,78.1,93.3,63.5
2019-06-07,75.4,90.4,63.1
2019-06-08,65.7,83.2,55.4
2019-06-09,60.3,73.2,51.8
2019-06-10,63.3,76.4,53.2
2019-06-11,66.5,76.6,55.7
2019-06-12,62.2,76.3,52.7
2019-06-13,62.7,75.8,53.0
2019-06-14,66.5,79.2,55.7
2019-06-15,66.2,79.4,56.4
2019-06-16,68.3,76.7,57.9
2019-06-17,64.0,75.4,56.4
2019-06-18,66.2,75.8,57.1
2019-06-19,64.6,75.5,56.6
2019-06-20,62.4,70.6,55.6
2019-06-21,60.1,72.1,52.4
2019-06-22,65.1,74.6,55.4
2019-06-23,66.7,76.0,55.6
2019-06-24,67.0,79.3,56.6
2019-06-25,68.8,79.6,57.7
2019-06-26,69.5,79.4,58.5
2019-06-27,63.4,77.0,54.5
2019-06-28,62.8,76.0,53.6
2019-06-29,65.2,77.0,55.3
2019-06-30,66.4,75.9,55.1
2019-07-01,64.2,75.4,54.0
2019-07-02,67.5,82.6,56.2
2019-07-03,75.6,90.0,61.4
2019-07-04,74.5,86.5,62.6
2019-07-05,70.0,83.7,59.8
2019-07-06,66.9,81.0,56.8
2019-07-07,70.0,82.1,57.3
2019-07-08,70.5,81.7,58.8
2019-07-09,69.4,81.7,58.6
2019-07-10,65.3,79.3,57.3
2019-07-11,65.9,78.7,57.2
2019-07-12,69.8,83.3,58.4
2019-07-13,75.9,92.3,61.8
2019-07-14,82.1,94.3,68.2
2019-07-15,86.7,100.1,73.4
2019-07-16,85.2,98.7,71.9
2019-07-17,85.1,97.9,71.8
2019-07-18,83.9,97.4,71.8
2019-07-19,82.1,94.1,70.7
2019-07-20,85.1,101.4,71.6
2019-07-21,91.4,104.5,80.5
2019-07-22,85.2,104.0,71.0
2019-07-23,77.6,93.1,66.9
2019-07-24,69.6,83.3,61.2
2019-07-25,69.3,82.3,59.3
2019-07-26,72.9,85.5,61.1
2019-07-27,75.4,87.3,61.4
2019-07-28,73.8,85.0,61.7
2019-07-29,71.2,81.4,61.7
2019-07-30,68.9,81.8,60.9
2019-07-31,75.9,91.8,62.2
2019-08-01,79.9,93.2,67.8
2019-08-02,77.8,93.1,64.8
2019-08-03,77.0,91.0,63.6
2019-08-04,79.8,93.9,67.7
2019-08-05,85.7,101.2,71.3
2019-08-06,87.9,101.1,75.5
2019-08-07,89.9,102.1,76.8
2019-08-08,93.1,106.8,79.4
2019-08-09,85.1,98.8,76.3
2019-08-10,85.6,99.2,72.7
2019-08-11,84.9,96.3,73.0
2019-08-12,80.2,93.6,72.8
2019-08-13,73.0,81.1,64.8
2019-08-14,70.4,81.1,61.8
2019-08-15,70.0,81.1,62.8
2019-08-16,67.1,79.5,58.7
2019-08-17,67.1,80.0,59.0
2019-08-18,76.8,102.6,61.9
2019-08-19,87.6,103.4,74.2
2019-08-20,85.1,102.7,72.1
2019-08-21,84.5,102.5,71.2
2019-08-22,98.3,119.7,82.2
2019-08-23,104.4,119.2,88.3
2019-08-24,95.0,110.0,83.4
2019-08-25,86.7,100.0,75.5
2019-08-26,80.8,91.6,72.3
2019-08-27,75.4,86.1,65.8
2019-08-28,71.4,85.9,62.6
2019-08-29,69.3,85.1,60.8
2019-08-30,68.2,80.8,60.7
2019-08-31,67.9,79.0,60.3
2019-09-01,71.0,84.9,57.5
2019-09-02,74.0,86.9,61.9
2019-09-03,74.5,87.4,62.2
2019-09-04,79.2,91.9,67.5
2019-09-05,76.0,91.0,65.2
2019-09-06,71.8,87.5,61.2
2019-09-07,72.4,82.8,61.5
2019-09-08,70.2,81.2,60.5
2019-09-09,67.9,80.9,58.6
2019-09-10,64.5,78.0,56.5
2019-09-11,63.0,73.3,56.3
2019-09-12,60.8,70.7,54.0
2019-09-13,65.4,78.1,54.7
2019-09-14,71.3,85.8,58.5
2019-09-15,77.8,92.2,64.5
2019-09-16,81.6,97.4,67.4
2019-09-17,85.2,100.5,70.6
2019-09-18,80.4,98.9,66.6
2019-09-19,74.4,92.6,62.6
2019-09-20,66.7,84.1,57.8
2019-09-21,73.4,98.7,56.0
2019-09-22,85.8,108.7,68.1
2019-09-23,93.9,108.4,81.3
2019-09-24,89.9,107.3,77.4
2019-09-25,82.8,100.1,70.9
2019-09-26,75.4,87.3,64.8
2019-09-27,72.4,85.0,62.9
2019-09-28,71.9,85.9,60.1
2019-09-29,72.7,83.8,61.1
2019-09-30,69.6,80.8,61.0
2019-10-01,72.6,86.7,61.4
2019-10-02,73.1,86.3,59.8
2019-10-03,71.0,83.1,58.7
2019-10-04,73.4,87.6,60.5
2019-10-05,73.6,87.5,60.3
2019-10-06,71.0,87.2,61.0
2019-10-07,70.0,81.1,59.0
2019-10-08,68.6,81.5,56.2
2019-10-09,72.6,84.0,61.2
2019-10-10,78.4,98.0,66.7
2019-10-11,84.6,99.8,73.2
2019-10-12,76.0,99.5,64.6
2019-10-13,72.0,85.1,60.9
2019-10-14,77.0,93.5,65.8
2019-10-15,79.6,93.5,68.5
2019-10-16,76.7,91.3,66.4
2019-10-17,73.3,88.8,61.9
2019-10-18,67.3,82.2,58.0
2019-10-19,61.9,72.2,53.4
2019-10-20,60.8,72.0,54.3
2019-10-21,59.0,71.0,48.7
2019-10-22,60.1,73.2,49.2
2019-10-23,64.5,79.0,54.1
2019-10-24,67.8,84.8,56.6
2019-10-25,68.9,85.1,55.6
2019-10-26,63.7,78.9,54.9
2019-10-27,59.8,72.1,50.6
2019-10-28,58.8,71.7,49.5
2019-10-29,60.4,75.6,49.3
2019-10-30,63.6,77.4,53.1
2019-10-31,67.2,83.6,56.7
2019-11-01,71.7,84.0,60.9
2019-11-02,68.7,83.6,57.0
2019-11-03,66.3,79.0,54.2
2019-11-04,65.2,80.7,55.6
2019-11-05,66.7,81.0,57.1
2019-11-06,65.6,83.2,53.4
2019-11-07,67.9,83.2,55.9
2019-11-08,70.2,83.5,60.4
2019-11-09,73.1,90.7,60.3
2019-11-10,76.8,90.8,66.5
2019-11-11,75.3,87.8,66.5
2019-11-12,76.4,91.6,67.0
2019-11-13,76.1,91.9,65.9
2019-11-14,69.1,85.9,58.5
2019-11-15,65.7,81.3,52.8
2019-11-16,69.0,81.3,61.4
2019-11-17,71.3,83.4,64.6
2019-11-18,72.8,84.7,64.3
2019-11-19,73.0,88.4,62.7
2019-11-20,73.1,88.7,63.9
2019-11-21,70.8,86.3,60.4
2019-11-22,70.2,86.6,59.2
2019-11-23,66.7,84.5,54.2
2019-11-24,71.2,85.8,61.1
2019-11-25,69.8,86.1,58.3
2019-11-26,64.6,76.9,54.3
2019-11-27,62.9,76.8,54.0
2019-11-28,54.8,66.3,49.2
2019-11-29,54.8,66.1,49.5
2019-11-30,56.3,70.5,46.3
2019-12-01,56.0,70.8,48.6
2019-12-02,55.9,69.4,47.3
2019-12-03,59.8,75.3,49.6
2019-12-04,58.9,75.3,46.5
2019-12-05,61.8,76.4,50.1
2019-12-06,66.5,81.3,57.4
2019-12-07,62.4,81.6,53.2
2019-12-08,51.9,66.2,41.5
2019-12-09,52.9,66.4,43.5
2019-12-10,50.4,64.9,39.4
2019-12-11,52.5,64.0,45.2
2019-12-12,50.3,64.7,39.1
2019-12-13,54.1,65.1,47.1
2019-12-14,53.0,69.3,42.8
2019-12-15,62.1,79.6,50.5
2019-12-16,64.1,79.6,52.4
2019-12-17,54.0,74.8,44.8
2019-12-18,43.2,56.2,34.4
2019-12-19,46.0,58.6,38.0
2019-12-20,48.0,59.3,40.1
2019-12-21,49.7,60.6,39.7
2019-12-22,50.5,60.6,41.6
2019-12-23,53.3,62.3,47.6
2019-12-24,52.7,62.3,46.2
2019-12-25,47.8,60.1,39.6
2019-12-26,45.1,56.7,36.4
2019-12-27,45.7,59.0,37.1
2019-12-28,48.5,61.9,38.9
2019-12-29,48.5,62.1,38.3
2019-12-30,37.9,55.8,26.5
2019-12-31,30.5,39.4,22.6
2020-01-01,39.1,58.1,28.5
2020-01-02,50.1,67.4,39.4
2020-01-03,51.5,67.6,39.9
2020-01-04,49.0,62.0,39.4
2020-01-05,50.1,56.8,44.4
2020-01-06,43.2,53.8,36.4
2020-01-07,39.3,51.0,30.4
2020-01-08,43.8,54.2,34.9
2020-01-09,46.5,53.4,42.1
2020-01-10,42.4,49.6,37.4
2020-01-11,40.4,48.9,33.4
2020-01-12,39.5,49.0,32.2
2020-01-13,34.2,48.1,27.2
2020-01-14,35.1,47.4,28.0
2020-01-15,32.5,47.7,23.3
2020-01-16,29.7,40.3,21.7
2020-01-17,35.1,49.2,27.1
2020-01-18,43.5,55.2,35.4
2020-01-19,45.4,55.5,37.1
2020-01-20,48.5,61.8,39.4
2020-01-21,48.8,61.7,38.4
2020-01-22,47.4,64.1,36.6
2020-01-23,49.8,64.4,39.1
2020-01-24,47.0,61.0,36.2
2020-01-25,47.6,60.3,38.7
2020-01-26,48.0,62.0,37.5
2020-01-27,50.9,62.3,41.2
2020-01-28,54.6,69.8,45.3
2020-01-29,61.5,74.1,52.4
2020-01-30,64.2,75.0,56.4
2020-01-31,64.5,77.9,54.8
2020-02-01,62.6,77.9,51.6
2020-02-02,60.4,76.3,50.5
2020-02-03,62.3,76.7,51.8
2020-02-04,60.4,73.4,49.3
2020-02-05,57.2,70.9,45.8
2020-02-06,52.3,65.8,45.3
2020-02-07,53.5,72.8,44.0
2020-02-08,59.9,74.9,48.3
2020-02-09,59.6,74.9,48.3
2020-02-10,56.7,68.8,48.9
2020-02-11,57.8,73.8,47.0
2020-02-12,57.4,74.1,45.1
2020-02-13,54.0,68.1,41.4
2020-02-14,55.8,68.0,44.2
2020-02-15,55.3,68.9,45.6
2020-02-16,58.8,75.8,47.7
2020-02-17,65.9,81.8,53.9
2020-02-18,67.0,82.1,53.0
2020-02-19,61.6,82.2,50.9
2020-02-20,51.6,65.1,41.6
2020-02-21,51.2,65.3,39.7
2020-02-22,50.2,62.9,40.5
2020-02-23,53.0,67.9,42.5
2020-02-24,55.6,68.4,46.5
2020-02-25,53.6,66.4,42.6
2020-02-26,53.5,72.6,39.1
2020-02-27,58.4,74.2,44.9
2020-02-28,61.1,74.6,48.1
2020-02-29,60.7,74.4,48.1
2020-03-01,58.5,70.7,47.6
2020-03-02,55.3,68.0,44.3
2020-03-03,58.1,71.9,45.5
2020-03-04,61.2,77.6,49.4
2020-03-05,58.2,77.3,47.6
2020-03-06,53.1,62.9,46.8
2020-03-07,53.2,62.5,43.1
2020-03-08,52.2,62.1,42.4
2020-03-09,50.1,64.4,39.0
2020-03-10,53.7,64.9,42.6
2020-03-11,57.1,71.7,45.4
2020-03-12,57.4,71.7,45.9
2020-03-13,54.8,68.8,44.5
2020-03-14,53.2,68.3,42.4
2020-03-15,57.7,73.7,45.1
2020-03-16,60.2,73.9,48.7
2020-03-17,63.7,81.8,50.2
2020-03-18,68.7,82.0,56.7
2020-03-19,67.5,79.2,59.4
2020-03-20,59.9,73.9,52.4
2020-03-21,52.6,65.8,42.0
2020-03-22,55.4,70.8,43.4
2020-03-23,56.7,71.9,44.4
2020-03-24,63.4,80.6,51.7
2020-03-25,69.5,87.2,56.0
2020-03-26,72.4,87.3,59.1
2020-03-27,62.3,82.5,52.3
2020-03-28,54.2,62.5,44.8
2020-03-29,57.6,73.2,47.4
2020-03-30,63.9,82.6,49.8
2020-03-31,71.2,84.4,59.8
2020-04-01,74.9,86.4,63.3
2020-04-02,70.2,85.7,58.8
2020-04-03,64.3,79.0,53.7
2020-04-04,60.7,69.1,51.4
2020-04-05,58.4,70.0,47.4
2020-04-06,59.7,71.9,46.6
2020-04-07,65.8,82.3,53.1
2020-04-08,68.6,84.3,55.3
2020-04-09,73.0,90.9,58.9
2020-04-10,79.3,95.1,64.5
2020-04-11,80.7,98.1,67.9
2020-04-12,81.9,98.3,69.1
2020-04-13,75.4,87.6,62.9
2020-04-14,65.5,80.7,55.4
2020-04-15,58.4,70.6,49.0
2020-04-16,59.5,70.1,49.1
2020-04-17,56.5,69.7,48.1
2020-04-18,58.5,68.4,48.2
2020-04-19,56.8,67.5,46.8
2020-04-20,61.6,81.3,48.8
2020-04-21,71.2,87.1,58.8
