,Year,Month,temperature_2m_mean_Boston
0,2018,10,52.63225806451613
1,2018,11,42.60333333333333
2,2018,12,37.303225806451614
3,2019,1,29.916129032258063
4,2019,2,28.87857142857143
5,2019,3,39.02903225806452
6,2019,4,50.763333333333335
7,2019,5,57.44193548387097
8,2019,6,67.62333333333333
9,2019,7,72.29354838709678
10,2019,8,72.7709677419355
11,2019,9,66.76
12,2019,10,55.31612903225806
13,2019,11,43.78333333333333
14,2019,12,41.32258064516129
15,2020,1,22.929032258064513
16,2020,2,23.982758620689655
17,2020,3,38.74516129032258
18,2020,4,47.669999999999995
19,2020,5,58.696774193548386
20,2020,6,69.20666666666666
21,2020,7,76.33870967741936
22,2020,8,73.61290322580645
23,2020,9,68.43333333333334
24,2020,10,53.067741935483866
25,2020,11,44.25333333333333
26,2020,12,39.59032258064516
27,2021,1,30.70967741935484
28,2021,2,22.760714285714283
29,2021,3,43.25483870967742
30,2021,4,48.18333333333333
31,2021,5,62.17741935483871
32,2021,6,68.80333333333333
33,2021,7,76.5516129032258
34,2021,8,73.83225806451614
35,2021,9,67.18666666666667
36,2021,10,55.21612903225807
37,2021,11,45.623333333333335
38,2021,12,33.50322580645161
39,2022,1,32.63870967741936
40,2022,2,34.05357142857143
41,2022,3,34.15806451612904
42,2022,4,48.376666666666665
43,2022,5,56.02903225806452
44,2022,6,68.52666666666667
45,2022,7,73.92903225806452
46,2022,8,74.62903225806451
47,2022,9,64.39
48,2022,10,53.39354838709678
49,2022,11,43.53
50,2022,12,36.303225806451614
51,2023,1,30.538709677419355
52,2023,2,28.285714285714285
53,2023,3,36.97741935483871
54,2023,4,45.99333333333333
55,2023,5,59.68709677419355
56,2023,6,66.57333333333334
57,2023,7,78.50322580645161
58,2023,8,74.49032258064516
59,2023,9,64.70333333333333
