,Year,Month,temperature_2m_mean_Chicago
0,2018,10,56.55806451612903
1,2018,11,47.41
2,2018,12,35.66451612903226
3,2019,1,27.838709677419356
4,2019,2,29.692857142857143
5,2019,3,38.07741935483871
6,2019,4,47.333333333333336
7,2019,5,55.37419354838709
8,2019,6,69.41000000000001
9,2019,7,76.35161290322581
10,2019,8,78.0741935483871
11,2019,9,66.27666666666667
12,2019,10,56.83870967741935
13,2019,11,42.46666666666667
14,2019,12,37.8258064516129
15,2020,1,13.883870967741936
16,2020,2,15.710344827586209
17,2020,3,38.15483870967742
18,2020,4,49.56333333333334
19,2020,5,58.122580645161285
20,2020,6,73.44666666666667
21,2020,7,79.39354838709677
22,2020,8,79.89354838709677
23,2020,9,71.48333333333333
24,2020,10,55.8258064516129
25,2020,11,40.65333333333333
26,2020,12,37.222580645161294
27,2021,1,24.467741935483872
28,2021,2,21.75
29,2021,3,39.50967741935484
30,2021,4,48.806666666666665
31,2021,5,62.483870967741936
32,2021,6,72.15333333333334
33,2021,7,76.60645161290323
34,2021,8,76.96129032258065
35,2021,9,68.96666666666667
36,2021,10,59.222580645161294
37,2021,11,44.21666666666667
38,2021,12,28.041935483870965
39,2022,1,32.116129032258065
40,2022,2,27.24642857142857
41,2022,3,27.519354838709678
42,2022,4,46.28
43,2022,5,60.05806451612903
44,2022,6,70.96666666666667
45,2022,7,82.99354838709678
46,2022,8,80.13870967741936
47,2022,9,69.46000000000001
48,2022,10,54.938709677419354
49,2022,11,42.55333333333333
50,2022,12,31.190322580645162
51,2023,1,29.203225806451613
52,2023,2,22.00714285714286
53,2023,3,43.041935483870965
54,2023,4,47.059999999999995
55,2023,5,67.24516129032257
56,2023,6,74.74
57,2023,7,79.66774193548386
58,2023,8,80.10645161290323
59,2023,9,70.56
