,Year,Month,temperature_2m_mean_Denver
0,2018,10,52.92580645161291
1,2018,11,37.42333333333333
2,2018,12,24.470967741935485
3,2019,1,24.951612903225808
4,2019,2,26.34642857142857
5,2019,3,34.33548387096774
6,2019,4,38.126666666666665
7,2019,5,56.63870967741936
8,2019,6,61.486666666666665
9,2019,7,72.95806451612903
10,2019,8,72.52258064516128
11,2019,9,64.39
12,2019,10,47.47096774193548
13,2019,11,41.29
14,2019,12,26.225806451612904
15,2020,1,15.529032258064515
16,2020,2,28.03103448275862
17,2020,3,36.854838709677416
18,2020,4,49.12
19,2020,5,52.92258064516129
20,2020,6,65.77666666666667
21,2020,7,77.7741935483871
22,2020,8,73.7741935483871
23,2020,9,61.93333333333333
24,2020,10,54.37419354838709
25,2020,11,36.836666666666666
26,2020,12,26.76451612903226
27,2021,1,24.083870967741937
28,2021,2,32.45
29,2021,3,35.358064516129026
30,2021,4,48.0
31,2021,5,60.28064516129032
32,2021,6,64.67666666666666
33,2021,7,73.3225806451613
34,2021,8,74.38387096774194
35,2021,9,66.57333333333334
36,2021,10,52.251612903225805
37,2021,11,36.86
38,2021,12,25.6
39,2022,1,30.183870967741935
40,2022,2,30.803571428571427
41,2022,3,36.961290322580645
42,2022,4,43.93
43,2022,5,54.935483870967744
44,2022,6,65.09
45,2022,7,76.37741935483871
46,2022,8,72.5741935483871
47,2022,9,62.25333333333333
48,2022,10,49.94193548387097
49,2022,11,35.88666666666666
50,2022,12,28.44193548387097
51,2023,1,29.44193548387097
52,2023,2,32.43571428571429
53,2023,3,38.516129032258064
54,2023,4,39.733333333333334
55,2023,5,53.961290322580645
56,2023,6,67.05
57,2023,7,73.76451612903226
58,2023,8,71.74193548387096
59,2023,9,58.86666666666667
