,Year,Month,temperature_2m_mean_Los Angeles
0,2018,10,69.22258064516129
1,2018,11,64.62666666666667
2,2018,12,50.093548387096774
3,2019,1,53.170967741935485
4,2019,2,50.06071428571429
5,2019,3,56.36451612903225
6,2019,4,68.60666666666665
7,2019,5,64.52580645161291
8,2019,6,66.41
9,2019,7,75.06129032258065
10,2019,8,80.83548387096775
11,2019,9,74.53
12,2019,10,69.26774193548388
13,2019,11,68.53666666666666
14,2019,12,52.064516129032256
15,2020,1,45.90967741935484
16,2020,2,57.49655172413794
17,2020,3,59.12903225806452
18,2020,4,69.17333333333333
19,2020,5,66.55483870967741
20,2020,6,69.57
21,2020,7,74.85161290322581
22,2020,8,79.57096774193548
23,2020,9,72.24333333333334
24,2020,10,66.55483870967741
25,2020,11,62.59
26,2020,12,47.70645161290323
27,2021,1,51.17741935483871
28,2021,2,60.160714285714285
29,2021,3,56.167741935483875
30,2021,4,61.263333333333335
31,2021,5,65.3
32,2021,6,71.89333333333335
33,2021,7,73.19999999999999
34,2021,8,77.37741935483871
35,2021,9,79.31666666666666
36,2021,10,74.63548387096773
37,2021,11,66.29333333333334
38,2021,12,55.809677419354834
39,2022,1,52.49354838709677
40,2022,2,55.971428571428575
41,2022,3,63.45483870967742
42,2022,4,61.17333333333333
43,2022,5,62.148387096774194
44,2022,6,72.00333333333333
45,2022,7,77.25161290322582
46,2022,8,75.76774193548388
47,2022,9,78.45666666666666
48,2022,10,67.88064516129033
49,2022,11,61.05333333333333
50,2022,12,56.34193548387096
51,2023,1,54.777419354838706
52,2023,2,55.721428571428575
53,2023,3,61.60967741935484
54,2023,4,58.01
55,2023,5,58.880645161290325
56,2023,6,65.28333333333333
57,2023,7,73.41935483870968
58,2023,8,75.48064516129033
59,2023,9,80.73666666666666
