,Year,Month,temperature_2m_mean_Miami
0,2018,10,79.53548387096774
1,2018,11,75.70666666666666
2,2018,12,68.74516129032257
3,2019,1,64.60322580645162
4,2019,2,73.28928571428571
5,2019,3,74.75806451612904
6,2019,4,76.0
7,2019,5,79.18387096774192
8,2019,6,81.44
9,2019,7,83.29677419354839
10,2019,8,83.10645161290323
11,2019,9,82.11999999999999
12,2019,10,78.1032258064516
13,2019,11,73.04333333333334
14,2019,12,76.64516129032258
15,2020,1,74.82903225806452
16,2020,2,74.11379310344829
17,2020,3,75.87096774193549
18,2020,4,75.39
19,2020,5,79.20645161290322
20,2020,6,80.26333333333334
21,2020,7,81.66774193548386
22,2020,8,82.58387096774193
23,2020,9,80.88666666666667
24,2020,10,77.84193548387097
25,2020,11,70.22333333333333
26,2020,12,74.96451612903226
27,2021,1,72.92258064516129
28,2021,2,68.96428571428571
29,2021,3,75.92258064516129
30,2021,4,75.95666666666666
31,2021,5,80.0516129032258
32,2021,6,81.51
33,2021,7,82.19032258064516
34,2021,8,82.65483870967742
35,2021,9,81.83333333333333
36,2021,10,78.48709677419355
37,2021,11,73.25
38,2021,12,68.86451612903227
39,2022,1,74.58064516129032
40,2022,2,71.225
41,2022,3,72.00645161290322
42,2022,4,76.03
43,2022,5,79.28387096774195
44,2022,6,80.91666666666667
45,2022,7,81.75806451612904
46,2022,8,82.6516129032258
47,2022,9,81.74666666666667
48,2022,10,78.5
49,2022,11,76.02
50,2022,12,68.80967741935484
51,2023,1,64.7290322580645
52,2023,2,71.13571428571429
53,2023,3,71.21290322580644
54,2023,4,76.01333333333334
55,2023,5,78.52258064516128
56,2023,6,81.53333333333333
57,2023,7,82.48709677419355
58,2023,8,82.52258064516128
59,2023,9,82.46333333333334
