,Year,Month,temperature_2m_mean_Minneapolis
0,2018,10,51.099999999999994
1,2018,11,42.82666666666667
2,2018,12,25.516129032258064
3,2019,1,19.570967741935487
4,2019,2,18.839285714285715
5,2019,3,32.08064516129032
6,2019,4,44.593333333333334
7,2019,5,55.693548387096776
8,2019,6,65.94
9,2019,7,72.90322580645162
10,2019,8,77.98709677419355
11,2019,9,60.74333333333333
12,2019,10,50.03548387096774
13,2019,11,34.84
14,2019,12,26.961290322580645
15,2020,1,-1.3064516129032258
16,2020,2,8.324137931034484
17,2020,3,29.938709677419357
18,2020,4,49.623333333333335
19,2020,5,60.34838709677419
20,2020,6,72.12333333333332
21,2020,7,76.63548387096773
22,2020,8,81.6741935483871
23,2020,9,66.46666666666667
24,2020,10,51.777419354838706
25,2020,11,35.39333333333333
26,2020,12,21.748387096774195
27,2021,1,15.370967741935484
28,2021,2,19.735714285714288
29,2021,3,36.23548387096774
30,2021,4,50.04666666666667
31,2021,5,60.70645161290323
32,2021,6,70.75666666666666
33,2021,7,76.26451612903226
34,2021,8,75.56129032258065
35,2021,9,65.84666666666666
36,2021,10,53.58709677419355
37,2021,11,37.836666666666666
38,2021,12,17.41290322580645
39,2022,1,19.138709677419353
40,2022,2,16.821428571428573
41,2022,3,19.983870967741936
42,2022,4,42.49
43,2022,5,59.84516129032258
44,2022,6,67.35333333333332
45,2022,7,81.78064516129032
46,2022,8,73.18709677419355
47,2022,9,67.44333333333333
48,2022,10,48.358064516129026
49,2022,11,36.236666666666665
50,2022,12,20.583870967741937
51,2023,1,19.112903225806452
52,2023,2,12.807142857142859
53,2023,3,41.13870967741936
54,2023,4,47.343333333333334
55,2023,5,66.45161290322581
56,2023,6,73.16000000000001
57,2023,7,76.83225806451614
58,2023,8,76.75483870967743
59,2023,9,66.53666666666666
