,Year,Month,temperature_2m_mean_Phoenix
0,2018,10,80.24516129032257
1,2018,11,64.83
2,2018,12,48.541935483870965
3,2019,1,52.00322580645161
4,2019,2,53.07857142857143
5,2019,3,61.7
6,2019,4,72.60666666666665
7,2019,5,82.90322580645162
8,2019,6,87.81333333333333
9,2019,7,96.03870967741935
10,2019,8,92.71935483870968
11,2019,9,88.86666666666666
12,2019,10,73.56129032258065
13,2019,11,68.23
14,2019,12,51.89032258064516
15,2020,1,45.18709677419355
16,2020,2,58.87241379310345
17,2020,3,64.1741935483871
18,2020,4,77.55
19,2020,5,84.31290322580645
20,2020,6,93.11999999999999
21,2020,7,96.38064516129033
22,2020,8,93.95161290322581
23,2020,9,87.26666666666667
24,2020,10,80.02258064516128
25,2020,11,63.54
26,2020,12,48.62580645161291
27,2021,1,51.73870967741936
28,2021,2,62.06071428571429
29,2021,3,62.932258064516134
30,2021,4,76.86333333333333
31,2021,5,83.19032258064516
32,2021,6,94.68333333333334
33,2021,7,95.80322580645162
34,2021,8,94.54516129032258
35,2021,9,92.67
36,2021,10,80.4483870967742
37,2021,11,64.98333333333333
38,2021,12,53.83870967741935
39,2022,1,52.9483870967742
40,2022,2,58.425000000000004
41,2022,3,67.52258064516128
42,2022,4,72.55
43,2022,5,78.28387096774195
44,2022,6,90.43
45,2022,7,95.66129032258064
46,2022,8,93.6258064516129
47,2022,9,88.63666666666667
48,2022,10,77.61935483870967
49,2022,11,62.92333333333333
50,2022,12,54.33870967741935
51,2023,1,54.34516129032258
52,2023,2,58.78928571428571
53,2023,3,66.30967741935484
54,2023,4,68.22666666666666
55,2023,5,75.51290322580645
56,2023,6,91.36333333333333
57,2023,7,98.39354838709677
58,2023,8,94.2258064516129
59,2023,9,88.72333333333333
