,Year,Month,temperature_2m_mean_Seattle
0,2018,10,53.49354838709677
1,2018,11,49.28
2,2018,12,41.26774193548387
3,2019,1,40.68064516129032
4,2019,2,35.778571428571425
5,2019,3,43.75806451612903
6,2019,4,47.54666666666667
7,2019,5,55.53225806451613
8,2019,6,64.97
9,2019,7,67.38064516129033
10,2019,8,66.54516129032258
11,2019,9,59.666666666666664
12,2019,10,51.012903225806454
13,2019,11,47.85333333333333
14,2019,12,35.11290322580645
15,2020,1,25.603225806451615
16,2020,2,38.90689655172414
17,2020,3,43.15483870967742
18,2020,4,49.71333333333334
19,2020,5,61.86451612903225
20,2020,6,63.05333333333333
21,2020,7,66.11612903225806
22,2020,8,65.62903225806451
23,2020,9,62.056666666666665
24,2020,10,52.806451612903224
25,2020,11,46.93333333333333
26,2020,12,30.096774193548388
27,2021,1,32.99677419354838
28,2021,2,47.846428571428575
29,2021,3,42.722580645161294
30,2021,4,49.82333333333334
31,2021,5,50.70967741935484
32,2021,6,59.809999999999995
33,2021,7,70.1516129032258
34,2021,8,66.51935483870967
35,2021,9,60.526666666666664
36,2021,10,50.94516129032258
37,2021,11,46.906666666666666
38,2021,12,36.26774193548387
39,2022,1,38.13870967741936
40,2022,2,41.94642857142857
41,2022,3,44.483870967741936
42,2022,4,46.04666666666667
43,2022,5,53.561290322580646
44,2022,6,64.0
45,2022,7,64.6741935483871
46,2022,8,67.63225806451612
47,2022,9,61.89
48,2022,10,51.83548387096774
49,2022,11,46.236666666666665
50,2022,12,43.61290322580645
51,2023,1,44.11612903225806
52,2023,2,35.94285714285714
53,2023,3,50.91935483870968
54,2023,4,51.18333333333333
55,2023,5,54.670967741935485
56,2023,6,60.526666666666664
57,2023,7,68.00322580645161
58,2023,8,64.20322580645161
59,2023,9,62.586666666666666
