latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.699997,-74.0,51.0,0,GMT,GMT

time,temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F)
2018-10-01,63.4,74.9,52.9
2018-10-02,61.5,70.0,52.6
2018-10-03,57.1,66.3,47.9
2018-10-04,59.6,70.3,52.4
2018-10-05,59.2,70.2,50.6
2018-10-06,60.9,73.1,50.8
2018-10-07,63.7,77.6,52.6
2018-10-08,63.4,75.3,53.4
2018-10-09,60.3,65.7,55.1
2018-10-10,54.6,62.5,49.2
2018-10-11,51.5,63.2,40.7
2018-10-12,57.7,60.4,55.9
2018-10-13,51.5,58.5,46.2
2018-10-14,40.8,45.3,34.8
2018-10-15,40.5,47.8,34.2
2018-10-16,47.4,62.9,36.8
2018-10-17,54.1,70.2,41.8
2018-10-18,61.0,70.7,53.8
2018-10-19,63.5,73.9,54.5
2018-10-20,51.2,59.2,41.9
2018-10-21,49.2,63.5,38.0
2018-10-22,51.3,65.1,39.5
2018-10-23,53.4,63.9,45.7
2018-10-24,51.9,60.9,45.7
2018-10-25,49.1,60.7,39.9
2018-10-26,57.7,69.6,49.4
2018-10-27,59.4,65.9,51.3
2018-10-28,47.4,53.1,40.9
2018-10-29,54.1,62.6,47.7
2018-10-30,46.9,52.1,41.5
2018-10-31,46.1,60.0,36.3
2018-11-01,45.6,51.4,39.7
2018-11-02,40.4,51.5,30.8
2018-11-03,52.3,65.1,44.9
2018-11-04,57.5,58.5,53.8
2018-11-05,45.1,54.8,35.7
2018-11-06,47.6,63.6,36.2
2018-11-07,49.2,60.3,39.7
2018-11-08,50.0,66.2,38.0
2018-11-09,54.2,68.4,45.2
2018-11-10,48.1,55.1,39.2
2018-11-11,53.3,63.8,46.6
2018-11-12,48.9,57.1,44.2
2018-11-13,40.2,47.0,34.1
2018-11-14,43.4,49.0,38.9
2018-11-15,36.3,44.3,29.3
2018-11-16,39.7,52.2,31.4
2018-11-17,48.0,58.8,40.5
2018-11-18,48.6,58.0,38.7
2018-11-19,42.5,48.8,38.8
2018-11-20,36.3,44.0,29.2
2018-11-21,43.8,55.3,36.1
2018-11-22,45.1,56.5,36.9
2018-11-23,44.2,53.1,36.2
2018-11-24,48.5,57.8,42.1
2018-11-25,44.6,51.6,35.7
2018-11-26,38.0,43.6,32.3
2018-11-27,35.3,41.6,31.2
2018-11-28,37.2,46.1,31.1
2018-11-29,39.5,51.2,31.3
2018-11-30,52.6,61.6,44.0
2018-12-01,50.8,55.5,47.1
2018-12-02,44.2,54.9,34.9
2018-12-03,48.4,61.6,39.3
2018-12-04,59.0,67.8,53.5
2018-12-05,56.5,68.4,43.5
2018-12-06,38.1,42.5,33.6
2018-12-07,43.8,54.8,37.5
2018-12-08,46.8,57.5,39.1
2018-12-09,54.4,56.2,50.7
2018-12-10,43.5,49.3,41.3
2018-12-11,47.7,53.4,42.8
2018-12-12,36.5,45.4,32.6
2018-12-13,31.5,35.3,28.4
2018-12-14,31.4,37.9,26.4
2018-12-15,34.6,43.4,28.9
2018-12-16,36.9,44.1,32.2
2018-12-17,36.7,42.8,31.9
2018-12-18,37.5,44.2,33.4
2018-12-19,40.2,43.5,38.3
2018-12-20,39.3,44.2,35.6
2018-12-21,38.8,43.8,35.3
2018-12-22,40.2,41.1,39.3
2018-12-23,37.0,40.2,33.6
2018-12-24,34.5,38.9,31.0
2018-12-25,33.2,35.5,30.7
2018-12-26,29.0,35.4,24.1
2018-12-27,26.8,31.3,24.2
2018-12-28,30.4,39.4,24.7
2018-12-29,32.2,37.6,26.4
2018-12-30,32.0,40.3,25.5
2018-12-31,33.8,36.4,30.5
