latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.4,-112.1,333.0,0,GMT,GMT

time,temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F)
2018-10-01,89.5,103.7,75.3
2018-10-02,91.8,106.1,75.9
2018-10-03,91.2,106.0,75.4
2018-10-04,87.5,101.4,71.7
2018-10-05,88.9,104.3,72.0
2018-10-06,90.9,104.1,79.0
2018-10-07,88.5,99.6,75.7
2018-10-08,88.0,99.7,73.3
2018-10-09,86.9,99.7,73.1
2018-10-10,83.9,98.9,69.0
2018-10-11,81.4,94.8,68.0
2018-10-12,81.0,92.8,67.2
2018-10-13,82.0,93.3,67.6
2018-10-14,76.9,93.1,62.4
2018-10-15,74.8,90.0,59.8
2018-10-16,74.0,89.8,58.7
2018-10-17,73.5,88.4,58.5
2018-10-18,74.3,89.3,58.3
2018-10-19,74.6,89.4,59.1
2018-10-20,75.4,90.4,59.3
2018-10-21,75.6,92.0,59.3
2018-10-22,76.5,92.4,59.8
2018-10-23,78.3,93.2,61.3
2018-10-24,73.4,92.9,62.6
2018-10-25,68.9,83.3,56.8
2018-10-26,74.4,84.9,62.1
2018-10-27,78.1,91.0,65.0
2018-10-28,78.6,91.2,65.7
2018-10-29,77.5,89.5,64.1
2018-10-30,76.6,88.9,63.5
2018-10-31,74.7,87.8,60.8
2018-11-01,75.1,88.5,61.4
2018-11-02,75.4,88.7,61.1
2018-11-03,74.5,88.0,61.4
2018-11-04,75.1,87.9,62.6
2018-11-05,70.9,86.5,56.8
2018-11-06,62.6,79.3,48.8
2018-11-07,59.7,73.0,45.2
2018-11-08,63.1,78.8,47.8
2018-11-09,64.0,78.9,48.4
2018-11-10,64.4,79.5,49.1
2018-11-11,67.7,79.6,53.9
2018-11-12,67.1,78.4,56.9
2018-11-13,65.5,77.7,53.7
2018-11-14,66.4,78.1,55.3
2018-11-15,63.3,75.3,51.8
2018-11-16,62.8,76.5,49.1
2018-11-17,63.3,79.6,48.8
2018-11-18,64.4,79.8,49.3
2018-11-19,63.9,78.1,50.4
2018-11-20,63.7,78.3,49.3
2018-11-21,64.6,81.6,49.3
2018-11-22,67.2,81.9,51.8
2018-11-23,66.2,80.7,52.1
2018-11-24,64.9,79.1,50.8
2018-11-25,67.5,82.1,53.4
2018-11-26,66.8,82.2,55.3
2018-11-27,59.2,77.3,46.2
2018-11-28,51.4,62.7,40.3
2018-11-29,50.3,61.9,37.8
2018-11-30,53.9,63.0,43.9
2018-12-01,52.4,63.2,41.1
2018-12-02,50.9,62.1,38.2
2018-12-03,48.1,57.9,36.5
2018-12-04,48.8,62.8,36.6
2018-12-05,53.1,66.0,40.7
2018-12-06,49.7,66.0,37.4
2018-12-07,50.6,61.3,38.9
2018-12-08,48.9,59.2,38.8
2018-12-09,47.8,59.6,35.9
2018-12-10,51.9,65.8,40.9
2018-12-11,53.1,66.3,43.0
2018-12-12,49.7,61.7,38.3
2018-12-13,52.6,69.0,39.7
2018-12-14,55.6,69.6,47.9
2018-12-15,48.9,57.2,40.8
2018-12-16,47.7,57.3,39.2
2018-12-17,48.5,57.1,40.4
2018-12-18,46.3,54.0,38.0
2018-12-19,42.5,48.9,35.2
2018-12-20,40.6,47.9,33.0
2018-12-21,37.7,47.3,28.3
2018-12-22,40.6,54.5,29.7
2018-12-23,47.5,58.7,36.9
2018-12-24,50.4,64.4,39.5
2018-12-25,51.0,64.6,37.9
2018-12-26,49.6,62.5,38.1
2018-12-27,47.7,60.9,33.8
2018-12-28,48.0,59.0,35.9
2018-12-29,46.6,58.4,35.2
2018-12-30,48.5,59.3,37.5
2018-12-31,49.5,59.5,40.8
2019-01-01,47.9,60.8,36.4
2019-01-02,51.9,67.6,38.7
2019-01-03,54.2,68.7,40.0
2019-01-04,59.4,74.6,46.5
2019-01-05,60.6,74.7,50.0
