latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.600006,-122.3,59.0,0,GMT,GMT

time,temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F)
2018-10-01,58.7,72.7,51.0
2018-10-02,57.8,64.4,56.4
2018-10-03,55.0,59.0,54.1
2018-10-04,57.2,66.9,52.2
2018-10-05,56.1,67.1,51.7
2018-10-06,52.6,60.0,50.0
2018-10-07,47.6,56.4,39.3
2018-10-08,50.8,60.5,43.0
2018-10-09,50.6,61.1,41.9
2018-10-10,50.7,62.0,38.2
2018-10-11,58.7,78.0,46.1
2018-10-12,63.9,78.1,48.8
2018-10-13,57.9,76.7,49.0
2018-10-14,55.3,67.4,46.8
2018-10-15,49.1,62.5,37.6
2018-10-16,56.5,63.1,51.4
2018-10-17,61.4,61.1,62.2
2018-10-18,58.2,61.4,56.1
2018-10-19,48.7,52.9,45.9
2018-10-20,52.3,53.2,52.1
2018-10-21,48.7,50.6,47.6
2018-10-22,44.7,56.1,36.9
2018-10-23,52.0,56.6,46.9
2018-10-24,50.8,53.8,47.6
2018-10-25,50.8,52.0,45.9
2018-10-26,48.2,54.0,43.5
2018-10-27,53.9,54.6,52.4
2018-10-28,47.9,54.2,43.9
2018-10-29,54.8,56.1,51.7
2018-10-30,53.0,56.1,52.1
2018-10-31,54.4,53.6,55.1
2018-11-01,53.4,51.4,54.1
2018-11-02,48.2,52.0,44.3
2018-11-03,48.9,52.7,44.8
2018-11-04,47.4,52.4,45.2
2018-11-05,43.6,48.5,40.8
2018-11-06,45.8,51.3,40.7
2018-11-07,46.1,56.1,37.4
2018-11-08,50.2,60.5,42.1
2018-11-09,48.5,60.2,44.3
2018-11-10,43.8,56.8,35.1
2018-11-11,48.6,56.8,42.3
2018-11-12,51.6,60.0,44.9
2018-11-13,56.8,70.4,47.7
2018-11-14,58.7,70.1,50.1
2018-11-15,55.7,66.8,53.3
2018-11-16,53.4,59.4,51.6
2018-11-17,64.0,63.4,63.6
2018-11-18,62.2,63.8,59.5
2018-11-19,53.5,54.4,53.0
2018-11-20,50.1,53.3,49.2
2018-11-21,46.4,52.2,42.7
2018-11-22,45.5,50.9,44.5
2018-11-23,41.6,48.2,37.6
2018-11-24,42.1,48.2,37.3
2018-11-25,52.6,60.2,49.5
2018-11-26,52.6,60.3,49.1
2018-11-27,48.4,48.8,46.1
2018-11-28,41.3,48.0,38.5
2018-11-29,39.1,43.9,35.4
2018-11-30,38.3,42.6,34.1
2018-12-01,42.0,42.8,40.3
2018-12-02,40.2,42.0,38.6
2018-12-03,37.2,43.4,31.1
2018-12-04,49.1,49.0,47.0
2018-12-05,42.3,48.5,40.2
2018-12-06,50.0,50.6,49.0
2018-12-07,46.0,50.6,44.1
2018-12-08,39.3,45.5,36.1
2018-12-09,47.9,51.7,44.1
2018-12-10,51.9,52.7,49.9
2018-12-11,43.6,47.4,42.2
2018-12-12,45.1,48.2,41.3
2018-12-13,49.3,49.7,48.3
2018-12-14,40.5,50.0,35.0
2018-12-15,46.5,50.8,42.5
2018-12-16,38.5,45.2,33.4
2018-12-17,36.5,45.4,31.5
2018-12-18,33.7,41.6,29.7
2018-12-19,33.4,40.1,28.7
2018-12-20,32.4,39.9,27.5
2018-12-21,35.9,42.7,33.5
2018-12-22,39.3,48.3,34.6
2018-12-23,41.5,48.6,36.5
2018-12-24,37.4,46.3,32.3
2018-12-25,38.5,43.5,35.8
2018-12-26,36.7,42.3,33.6
2018-12-27,44.8,46.7,42.9
2018-12-28,41.9,46.6,40.0
