latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.800003,-122.399994,18.0,0,GMT,GMT

time,temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F)
2018-10-01,58.7,71.9,50.6
2018-10-02,60.2,72.4,53.7
2018-10-03,60.1,67.8,53.9
2018-10-04,61.8,73.2,52.1
2018-10-05,60.3,73.2,52.9
2018-10-06,63.2,73.8,52.3
2018-10-07,59.7,71.5,52.3
2018-10-08,59.4,76.6,50.6
2018-10-09,67.4,84.3,56.4
2018-10-10,72.6,84.8,61.0
2018-10-11,64.4,83.4,54.4
2018-10-12,57.5,66.8,54.4
2018-10-13,56.2,59.9,53.9
2018-10-14,57.1,60.1,55.5
2018-10-15,56.3,59.0,54.4
2018-10-16,55.5,60.2,53.6
2018-10-17,57.1,64.1,52.6
2018-10-18,61.6,67.0,58.2
2018-10-19,57.3,66.8,48.8
2018-10-20,57.6,67.2,49.4
2018-10-21,62.4,74.4,55.1
2018-10-22,63.8,74.4,53.8
2018-10-23,58.2,70.3,52.5
2018-10-24,57.5,67.4,52.2
2018-10-25,60.4,75.1,52.6
2018-10-26,64.6,75.8,55.2
2018-10-27,62.5,79.3,53.3
2018-10-28,64.7,80.0,52.8
2018-10-29,57.6,78.4,50.4
2018-10-30,58.1,61.4,55.1
2018-10-31,57.5,69.4,50.5
2018-11-01,59.8,69.7,55.2
2018-11-02,57.6,66.3,53.0
2018-11-03,54.5,66.5,45.6
2018-11-04,55.5,62.9,48.9
2018-11-05,56.9,67.5,49.8
2018-11-06,60.9,67.9,55.0
2018-11-07,54.0,67.5,47.2
2018-11-08,53.3,67.8,43.6
2018-11-09,54.4,68.1,43.9
2018-11-10,54.0,64.9,48.0
2018-11-11,54.2,65.6,47.7
2018-11-12,54.8,67.7,49.2
2018-11-13,60.8,74.3,51.8
2018-11-14,63.9,74.5,55.3
2018-11-15,61.0,71.1,52.4
2018-11-16,63.0,75.5,54.4
2018-11-17,64.9,75.4,55.4
2018-11-18,63.0,73.7,58.8
2018-11-19,57.7,64.1,54.1
2018-11-20,59.5,69.9,54.5
2018-11-21,55.2,70.2,47.2
2018-11-22,54.0,64.3,48.0
2018-11-23,52.6,64.8,44.8
2018-11-24,51.4,62.5,42.3
2018-11-25,55.2,61.6,50.8
2018-11-26,57.2,58.9,55.3
2018-11-27,53.9,58.0,51.5
2018-11-28,50.3,56.0,45.9
2018-11-29,57.4,59.2,54.9
2018-11-30,54.6,57.5,51.7
2018-12-01,58.2,59.7,56.6
2018-12-02,53.6,58.0,50.4
2018-12-03,48.8,56.8,42.1
2018-12-04,53.1,57.1,48.1
2018-12-05,55.4,56.0,54.4
2018-12-06,55.3,56.0,53.7
2018-12-07,54.7,57.4,50.2
2018-12-08,52.9,55.9,47.9
2018-12-09,52.2,55.7,48.8
2018-12-10,54.9,57.5,52.4
2018-12-11,51.8,55.8,49.3
2018-12-12,53.5,54.3,51.6
2018-12-13,51.1,53.9,48.0
2018-12-14,49.0,56.1,43.3
2018-12-15,50.9,57.0,45.1
2018-12-16,52.9,57.2,49.5
2018-12-17,52.3,54.3,49.2
2018-12-18,46.4,52.4,40.7
2018-12-19,43.3,53.5,35.4
2018-12-20,44.2,53.9,36.3
2018-12-21,43.1,53.7,35.7
2018-12-22,44.0,53.4,37.6
2018-12-23,45.9,55.5,37.9
2018-12-24,46.5,56.4,38.0
2018-12-25,46.5,56.4,38.5
2018-12-26,46.1,56.8,38.8
2018-12-27,48.9,56.1,41.9
2018-12-28,45.1,55.9,38.5
2018-12-29,48.6,53.1,45.7
2018-12-30,48.1,52.0,45.8
2018-12-31,47.5,52.2,42.2
2019-01-01,52.1,56.0,46.9
2019-01-02,53.4,56.0,51.4
2019-01-03,47.5,59.6,39.2
2019-01-04,46.3,59.8,38.7
2019-01-05,46.6,56.3,39.5
2019-01-06,53.2,58.1,48.4
2019-01-07,57.5,59.5,54.5
2019-01-08,55.6,59.4,51.9
2019-01-09,47.0,55.1,40.2
2019-01-10,47.3,55.6,38.3
2019-01-11,47.7,55.0,42.9
2019-01-12,48.0,56.4,43.5
2019-01-13,48.1,58.9,40.0
2019-01-14,49.8,60.6,41.9
2019-01-15,51.5,60.9,43.8
2019-01-16,48.3,56.4,41.7
2019-01-17,47.7,58.8,39.8
2019-01-18,48.3,59.3,40.3
2019-01-19,50.9,58.9,45.2
2019-01-20,49.2,55.8,45.1
2019-01-21,51.1,55.8,45.3
2019-01-22,52.5,58.8,49.4
2019-01-23,49.5,59.2,45.5
2019-01-24,50.8,59.6,46.4
2019-01-25,49.2,61.5,39.7
2019-01-26,50.0,61.7,43.5
2019-01-27,49.1,58.1,44.5
2019-01-28,49.1,54.5,45.5
2019-01-29,48.5,58.6,43.8
2019-01-30,51.0,63.6,42.4
2019-01-31,50.2,63.9,40.2
2019-02-01,49.0,61.7,40.9
2019-02-02,51.4,60.3,45.9
2019-02-03,50.4,60.4,44.5
2019-02-04,48.8,58.2,43.8
2019-02-05,50.7,53.1,47.7
2019-02-06,48.2,54.2,41.7
2019-02-07,50.3,54.1,47.1
2019-02-08,48.6,54.6,42.8
